scan_timestamp,sport,game_label,team,book_fair_prob,kalshi_price,entry_price,raw_edge,fee_cost,spread_cost,net_edge,side,kalshi_ticker,outcome
2026-09-05T19:18:52.221099+00:00,nfl,Detroit Lions @ Carolina Panthers,Carolina Panthers,0.3666,0.405,0.6,-0.0384,0.0169,0.005,0.0165,buy_no,KXNFLGAME-26SEP13CHICAR-CAR,
2026-09-05T19:18:52.221153+00:00,nfl,Atlanta Falcons @ New Orleans Saints,New Orleans Saints,0.5739,0.265,0.27,0.3089,0.0138,0.005,0.2901,buy_yes,KXNFLGAME-26SEP13NODET-NO,
2026-09-05T19:18:52.221275+00:00,nfl,Cincinnati Bengals @ Miami Dolphins,Miami Dolphins,0.2164,0.16,0.17,0.0564,0.0099,0.01,0.0365,buy_yes,KXNFLGAME-26SEP20MIASF-MIA,
2026-09-05T19:18:52.221389+00:00,nfl,Cleveland Browns @ New York Jets,New York Jets,0.5615,0.475,0.48,0.0865,0.0175,0.005,0.064,buy_yes,KXNFLGAME-26SEP13NYJTEN-NYJ,
2026-09-05T19:18:52.221451+00:00,nfl,Houston Texans @ Tennessee Titans,Tennessee Titans,0.326,0.525,0.48,-0.199,0.0175,0.005,0.1765,buy_no,KXNFLGAME-26SEP13NYJTEN-TEN,
2026-09-05T19:18:52.221505+00:00,nfl,Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,0.5911,0.635,0.37,-0.0439,0.0164,0.005,0.0225,buy_no,KXNFLGAME-26SEP13ATLPIT-PIT,
2026-09-05T19:18:52.221584+00:00,nfl,Las Vegas Raiders @ New England Patriots,New England Patriots,0.8562,0.385,0.39,0.4712,0.0167,0.005,0.4495,buy_yes,KXNFLGAME-26SEP09NESEA-NE,
2026-09-05T19:18:52.221643+00:00,nfl,Minnesota Vikings @ New Orleans Saints,New Orleans Saints,0.4533,0.265,0.27,0.1883,0.0138,0.005,0.1695,buy_yes,KXNFLGAME-26SEP13NODET-NO,
2026-09-05T19:18:52.221738+00:00,nfl,Denver Broncos @ Los Angeles Chargers,Los Angeles Chargers,0.5911,0.825,0.18,-0.2339,0.0104,0.005,0.2185,buy_no,KXNFLGAME-26SEP13ARILAC-LAC,
2026-09-05T19:18:52.221797+00:00,nfl,Detroit Lions @ Arizona Cardinals,Arizona Cardinals,0.1504,0.185,0.82,-0.0346,0.0104,0.005,0.0192,buy_no,KXNFLGAME-26SEP13ARILAC-ARI,
2026-09-05T19:18:52.221855+00:00,nfl,Chicago Bears @ Green Bay Packers,Green Bay Packers,0.6422,0.47,0.48,0.1722,0.0175,0.01,0.1447,buy_yes,KXNFLGAME-26SEP13GBMIN-GB,
2026-09-05T19:18:52.221907+00:00,nfl,San Francisco 49ers @ Seattle Seahawks,Seattle Seahawks,0.7044,0.625,0.63,0.0794,0.0164,0.005,0.058,buy_yes,KXNFLGAME-26SEP09NESEA-SEA,
2026-09-05T19:18:52.221961+00:00,nfl,Baltimore Ravens @ Atlanta Falcons,Atlanta Falcons,0.2956,0.365,0.64,-0.0694,0.0162,0.005,0.0482,buy_no,KXNFLGAME-26SEP13ATLPIT-ATL,
2026-09-05T19:18:52.222014+00:00,nfl,Buffalo Bills @ Los Angeles Rams,Los Angeles Rams,0.6422,0.645,0.36,-0.0028,0.0162,0.005,-0.0184,buy_no,KXNFLGAME-26SEP10SFLAR-LAR,
2026-09-05T19:18:52.222131+00:00,nfl,Chicago Bears @ Atlanta Falcons,Atlanta Falcons,0.3812,0.365,0.37,0.0162,0.0164,0.005,-0.0052,buy_yes,KXNFLGAME-26SEP13ATLPIT-ATL,
2026-09-05T19:18:52.222185+00:00,nfl,Baltimore Ravens @ Cleveland Browns,Cleveland Browns,0.2415,0.22,0.23,0.0215,0.0124,0.01,-0.0009,buy_yes,KXNFLGAME-26SEP13CLEJAC-CLE,
2026-09-05T19:18:52.222271+00:00,nfl,Tennessee Titans @ Indianapolis Colts,Indianapolis Colts,0.6856,0.375,0.38,0.3106,0.0165,0.005,0.2891,buy_yes,KXNFLGAME-26SEP13BALIND-IND,
2026-09-05T19:18:52.222323+00:00,nfl,New York Jets @ New England Patriots,New England Patriots,0.8737,0.385,0.39,0.4887,0.0167,0.005,0.467,buy_yes,KXNFLGAME-26SEP09NESEA-NE,
2026-09-05T19:18:52.222413+00:00,nfl,Pittsburgh Steelers @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,0.5467,0.345,0.35,0.2017,0.016,0.005,0.1807,buy_yes,KXNFLGAME-26SEP13TBCIN-TB,
2026-09-05T19:18:52.222466+00:00,nfl,Arizona Cardinals @ Los Angeles Rams,Los Angeles Rams,0.94,0.645,0.65,0.295,0.016,0.005,0.274,buy_yes,KXNFLGAME-26SEP10SFLAR-LAR,
2026-09-05T19:18:52.222609+00:00,nfl,Dallas Cowboys @ Green Bay Packers,Green Bay Packers,0.6422,0.47,0.48,0.1722,0.0175,0.01,0.1447,buy_yes,KXNFLGAME-26SEP13GBMIN-GB,
2026-09-05T19:18:52.222664+00:00,nfl,Washington Commanders @ San Francisco 49ers,San Francisco 49ers,0.7585,0.36,0.37,0.3985,0.0164,0.01,0.3721,buy_yes,KXNFLGAME-26SEP10SFLAR-SF,
2026-09-05T19:18:52.222718+00:00,nfl,New England Patriots @ Chicago Bears,Chicago Bears,0.5375,0.585,0.42,-0.0475,0.0171,0.005,0.0254,buy_no,KXNFLGAME-26SEP13CHICAR-CHI,
2026-09-05T19:18:52.222773+00:00,nfl,Pittsburgh Steelers @ New Orleans Saints,New Orleans Saints,0.4089,0.265,0.27,0.1439,0.0138,0.005,0.1251,buy_yes,KXNFLGAME-26SEP13NODET-NO,
2026-09-05T19:18:52.222826+00:00,nfl,San Francisco 49ers @ Atlanta Falcons,Atlanta Falcons,0.2784,0.365,0.64,-0.0866,0.0162,0.005,0.0654,buy_no,KXNFLGAME-26SEP13ATLPIT-ATL,
2026-09-05T19:18:52.222879+00:00,nfl,Cincinnati Bengals @ Baltimore Ravens,Baltimore Ravens,0.674,0.635,0.64,0.039,0.0162,0.005,0.0178,buy_yes,KXNFLGAME-26SEP13BALIND-BAL,
2026-09-05T19:18:52.222933+00:00,nfl,Tampa Bay Buccaneers @ Carolina Panthers,Carolina Panthers,0.4533,0.405,0.41,0.0483,0.017,0.005,0.0263,buy_yes,KXNFLGAME-26SEP13CHICAR-CAR,
2026-09-05T19:18:52.222988+00:00,nfl,Cleveland Browns @ Tennessee Titans,Tennessee Titans,0.5739,0.525,0.53,0.0489,0.0175,0.005,0.0264,buy_yes,KXNFLGAME-26SEP13NYJTEN-TEN,
2026-09-05T19:18:52.223042+00:00,nfl,New York Giants @ Houston Texans,Houston Texans,0.7521,0.505,0.51,0.2471,0.0175,0.005,0.2246,buy_yes,KXNFLGAME-26SEP13BUFHOU-HOU,
2026-09-05T19:18:52.223098+00:00,nfl,Indianapolis Colts @ Minnesota Vikings,Minnesota Vikings,0.5911,0.535,0.54,0.0561,0.0174,0.005,0.0337,buy_yes,KXNFLGAME-26SEP13GBMIN-MIN,
2026-09-05T19:18:52.223153+00:00,nfl,Miami Dolphins @ New York Jets,New York Jets,0.5911,0.475,0.48,0.1161,0.0175,0.005,0.0936,buy_yes,KXNFLGAME-26SEP13NYJTEN-NYJ,
2026-09-05T19:18:52.223210+00:00,nfl,Denver Broncos @ Arizona Cardinals,Arizona Cardinals,0.1609,0.185,0.82,-0.0241,0.0104,0.005,0.0087,buy_no,KXNFLGAME-26SEP13ARILAC-ARI,
2026-09-05T19:18:52.223263+00:00,nfl,Green Bay Packers @ Detroit Lions,Detroit Lions,0.5911,0.745,0.26,-0.1539,0.0135,0.005,0.1354,buy_no,KXNFLGAME-26SEP13NODET-DET,
2026-09-05T19:18:52.223347+00:00,nfl,Kansas City Chiefs @ Seattle Seahawks,Seattle Seahawks,0.6556,0.625,0.63,0.0306,0.0164,0.005,0.0092,buy_yes,KXNFLGAME-26SEP09NESEA-SEA,
2026-09-05T19:18:52.223445+00:00,nfl,Carolina Panthers @ Green Bay Packers,Green Bay Packers,0.8274,0.47,0.48,0.3574,0.0175,0.01,0.3299,buy_yes,KXNFLGAME-26SEP13GBMIN-GB,
2026-09-05T19:18:52.223555+00:00,nfl,Atlanta Falcons @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,0.7216,0.345,0.35,0.3766,0.016,0.005,0.3556,buy_yes,KXNFLGAME-26SEP13TBCIN-TB,
2026-09-05T19:18:52.223615+00:00,nfl,Baltimore Ravens @ Buffalo Bills,Buffalo Bills,0.5739,0.495,0.5,0.0789,0.0176,0.005,0.0563,buy_yes,KXNFLGAME-26SEP13BUFHOU-BUF,
2026-09-05T19:18:52.223673+00:00,nfl,Tennessee Titans @ Cincinnati Bengals,Cincinnati Bengals,0.7997,0.655,0.66,0.1447,0.0158,0.005,0.1239,buy_yes,KXNFLGAME-26SEP13TBCIN-CIN,
2026-09-05T19:18:52.223726+00:00,nfl,Cleveland Browns @ Pittsburgh Steelers,Pittsburgh Steelers,0.7654,0.635,0.64,0.1304,0.0162,0.005,0.1092,buy_yes,KXNFLGAME-26SEP13ATLPIT-PIT,
2026-09-05T19:18:52.223781+00:00,nfl,Minnesota Vikings @ Detroit Lions,Detroit Lions,0.7299,0.745,0.26,-0.0151,0.0135,0.005,-0.0034,buy_no,KXNFLGAME-26SEP13NODET-DET,
2026-09-05T19:18:52.223868+00:00,nfl,Las Vegas Raiders @ New York Jets,New York Jets,0.5467,0.475,0.48,0.0717,0.0175,0.005,0.0492,buy_yes,KXNFLGAME-26SEP13NYJTEN-NYJ,
2026-09-05T19:18:52.223920+00:00,nfl,Los Angeles Chargers @ Los Angeles Rams,Los Angeles Rams,0.6856,0.645,0.65,0.0406,0.016,0.005,0.0196,buy_yes,KXNFLGAME-26SEP10SFLAR-LAR,
2026-09-05T19:18:52.224017+00:00,nfl,New England Patriots @ Miami Dolphins,Miami Dolphins,0.1645,0.16,0.17,0.0045,0.0099,0.01,-0.0154,buy_yes,KXNFLGAME-26SEP20MIASF-MIA,
2026-09-05T19:18:52.224099+00:00,nfl,Chicago Bears @ Seattle Seahawks,Seattle Seahawks,0.7299,0.625,0.63,0.1049,0.0164,0.005,0.0835,buy_yes,KXNFLGAME-26SEP09NESEA-SEA,
2026-09-05T19:18:52.224152+00:00,nfl,Jacksonville Jaguars @ Baltimore Ravens,Baltimore Ravens,0.7044,0.635,0.64,0.0694,0.0162,0.005,0.0482,buy_yes,KXNFLGAME-26SEP13BALIND-BAL,
2026-09-05T19:18:52.224204+00:00,nfl,Cincinnati Bengals @ Atlanta Falcons,Atlanta Falcons,0.263,0.365,0.64,-0.102,0.0162,0.005,0.0808,buy_no,KXNFLGAME-26SEP13ATLPIT-ATL,
2026-09-05T19:18:52.224257+00:00,nfl,Denver Broncos @ Carolina Panthers,Carolina Panthers,0.3666,0.405,0.6,-0.0384,0.0169,0.005,0.0165,buy_no,KXNFLGAME-26SEP13CHICAR-CAR,
2026-09-05T19:18:52.224316+00:00,nfl,Cleveland Browns @ New Orleans Saints,New Orleans Saints,0.7044,0.265,0.27,0.4394,0.0138,0.005,0.4206,buy_yes,KXNFLGAME-26SEP13NODET-NO,
2026-09-05T19:18:52.224430+00:00,nfl,Dallas Cowboys @ Indianapolis Colts,Indianapolis Colts,0.4533,0.375,0.38,0.0783,0.0165,0.005,0.0568,buy_yes,KXNFLGAME-26SEP13BALIND-IND,
2026-09-05T19:18:52.224574+00:00,nfl,Detroit Lions @ Miami Dolphins,Miami Dolphins,0.2164,0.16,0.17,0.0564,0.0099,0.01,0.0365,buy_yes,KXNFLGAME-26SEP20MIASF-MIA,
2026-09-05T19:18:52.224872+00:00,nfl,Houston Texans @ Los Angeles Chargers,Los Angeles Chargers,0.5911,0.825,0.18,-0.2339,0.0104,0.005,0.2185,buy_no,KXNFLGAME-26SEP13ARILAC-LAC,
2026-09-05T19:18:52.224962+00:00,nfl,Las Vegas Raiders @ San Francisco 49ers,San Francisco 49ers,0.8737,0.36,0.37,0.5137,0.0164,0.01,0.4873,buy_yes,KXNFLGAME-26SEP10SFLAR-SF,
2026-09-05T19:18:52.225019+00:00,nfl,Arizona Cardinals @ Seattle Seahawks,Seattle Seahawks,0.9442,0.625,0.63,0.3192,0.0164,0.005,0.2978,buy_yes,KXNFLGAME-26SEP09NESEA-SEA,
2026-09-05T19:18:52.225074+00:00,nfl,Green Bay Packers @ New England Patriots,New England Patriots,0.5467,0.385,0.39,0.1617,0.0167,0.005,0.14,buy_yes,KXNFLGAME-26SEP09NESEA-NE,
2026-09-05T19:18:52.225130+00:00,nfl,Tampa Bay Buccaneers @ Chicago Bears,Chicago Bears,0.6938,0.585,0.59,0.1088,0.017,0.005,0.0868,buy_yes,KXNFLGAME-26SEP13CHICAR-CHI,
2026-09-05T19:18:52.225189+00:00,nfl,Buffalo Bills @ Minnesota Vikings,Minnesota Vikings,0.352,0.535,0.47,-0.183,0.0175,0.005,0.1605,buy_no,KXNFLGAME-26SEP13GBMIN-MIN,
2026-09-05T19:18:52.225281+00:00,nfl,New England Patriots @ Detroit Lions,Detroit Lions,0.5467,0.745,0.26,-0.1983,0.0135,0.005,0.1798,buy_no,KXNFLGAME-26SEP13NODET-DET,
2026-09-05T19:18:52.225335+00:00,nfl,Kansas City Chiefs @ Atlanta Falcons,Atlanta Falcons,0.263,0.365,0.64,-0.102,0.0162,0.005,0.0808,buy_no,KXNFLGAME-26SEP13ATLPIT-ATL,
2026-09-05T19:18:52.225392+00:00,nfl,Buffalo Bills @ New York Jets,New York Jets,0.1726,0.475,0.53,-0.3024,0.0175,0.005,0.2799,buy_no,KXNFLGAME-26SEP13NYJTEN-NYJ,
2026-09-05T19:18:52.225448+00:00,nfl,Carolina Panthers @ New Orleans Saints,New Orleans Saints,0.525,0.265,0.27,0.26,0.0138,0.005,0.2412,buy_yes,KXNFLGAME-26SEP13NODET-NO,
2026-09-05T19:18:52.225502+00:00,nfl,Houston Texans @ Cleveland Browns,Cleveland Browns,0.2956,0.22,0.23,0.0756,0.0124,0.01,0.0532,buy_yes,KXNFLGAME-26SEP13CLEJAC-CLE,
2026-09-05T19:18:52.225589+00:00,nfl,Minnesota Vikings @ Green Bay Packers,Green Bay Packers,0.7521,0.47,0.48,0.2821,0.0175,0.01,0.2546,buy_yes,KXNFLGAME-26SEP13GBMIN-GB,
